# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
-0.154044,0.082486,-0.380024,0.66925520,0.03425097,-0.74171040,0.02810706,0.280671,0.765339,0.585981,-0.99642890,-0.05077957,-0.06733745,0.00407036,2038
-0.154161,0.082445,-0.379904,0.66935800,0.03441788,-0.74160560,0.02822401,0.280600,0.765389,0.585950,-0.99640050,-0.05149426,-0.06723701,0.00370047,4035
-0.153688,0.082379,-0.379853,0.66921260,0.03426730,-0.74175580,0.02790345,0.280661,0.765243,0.585821,-0.99642540,-0.05096351,-0.06726715,0.00378814,6036
-0.152351,0.081865,-0.379647,0.66891150,0.03326873,-0.74210880,0.02692771,0.280389,0.765286,0.584501,-0.99645590,-0.04958440,-0.06785600,0.00354472,8048
-0.151844,0.082061,-0.379898,0.66924640,0.03273692,-0.74184950,0.02639762,0.279956,0.765186,0.581273,-0.99665280,-0.04618480,-0.06736366,0.00352828,12037
-0.150009,0.081856,-0.379519,0.66914080,0.03138066,-0.74206310,0.02466294,0.279628,0.765450,0.579788,-0.99668000,-0.04554261,-0.06738996,0.00366062,14038
-0.149011,0.081594,-0.379688,0.66970230,0.03016833,-0.74164240,0.02356493,0.279508,0.765490,0.579515,-0.99677650,-0.04452782,-0.06665238,0.00337335,16038
-0.148589,0.081868,-0.379719,0.66989090,0.02995988,-0.74149620,0.02306730,0.279645,0.765301,0.579359,-0.99672800,-0.04556451,-0.06667893,0.00333113,18038
-0.148473,0.081766,-0.379546,0.66988330,0.02990811,-0.74150840,0.02296106,0.279599,0.765374,0.579406,-0.99673850,-0.04534071,-0.06667206,0.00337822,20039
-0.148440,0.081699,-0.379538,0.66987470,0.02993147,-0.74151210,0.02306031,0.279622,0.765331,0.579361,-0.99672970,-0.04557529,-0.06664769,0.00328893,22039
-0.148486,0.081777,-0.379588,0.66991760,0.02986221,-0.74147600,0.02306372,0.279599,0.765399,0.579391,-0.99673180,-0.04548126,-0.06667810,0.00338159,24040
-0.148232,0.081710,-0.379364,0.66989030,0.02982876,-0.74150390,0.02300315,0.279593,0.765351,0.579383,-0.99674880,-0.04497379,-0.06676232,0.00346620,26040
-0.148368,0.081819,-0.379537,0.66994000,0.02986399,-0.74145840,0.02297858,0.279574,0.765387,0.579404,-0.99674800,-0.04530003,-0.06656710,0.00322514,28040
-0.148352,0.081558,-0.379555,0.66996350,0.02962658,-0.74144920,0.02290036,0.279513,0.765364,0.578470,-0.99672620,-0.04362766,-0.06789041,0.00495499,30041
-0.147611,0.081801,-0.379662,0.66997250,0.02904892,-0.74147710,0.02246766,0.279236,0.765396,0.576758,-0.99692740,-0.04090346,-0.06670048,0.00371455,32041
-0.146342,0.081325,-0.379907,0.67018950,0.02790548,-0.74136640,0.02105482,0.279015,0.765464,0.575259,-0.99694760,-0.04056001,-0.06660591,0.00375863,34041
-0.145050,0.081211,-0.379726,0.67040770,0.02682073,-0.74124210,0.01986430,0.278839,0.765516,0.574404,-0.99703940,-0.03907482,-0.06615234,0.00308617,36042
-0.144442,0.081403,-0.379612,0.67079170,0.02646091,-0.74092470,0.01920889,0.278862,0.765487,0.574369,-0.99705490,-0.03890825,-0.06601644,0.00307826,38042
-0.144500,0.081311,-0.379864,0.67079060,0.02635919,-0.74093370,0.01903460,0.278868,0.765480,0.574360,-0.99705950,-0.03880280,-0.06600723,0.00314142,40043
-0.144438,0.081438,-0.379788,0.67084930,0.02636477,-0.74087850,0.01911510,0.278749,0.765393,0.573121,-0.99709360,-0.03655028,-0.06676202,0.00335381,42043
-0.143471,0.081083,-0.379666,0.67040340,0.02542135,-0.74133250,0.01842315,0.278727,0.765462,0.573158,-0.99709960,-0.03643373,-0.06673957,0.00327123,44044
-0.143404,0.081150,-0.379695,0.67033570,0.02533773,-0.74139900,0.01831583,0.278746,0.765410,0.573128,-0.99710240,-0.03627358,-0.06678332,0.00330852,46044
-0.143287,0.081159,-0.379521,0.67034580,0.02538358,-0.74138710,0.01836311,0.278738,0.765408,0.573164,-0.99710550,-0.03611290,-0.06681987,0.00338433,48044
-0.143330,0.081122,-0.379639,0.67033900,0.02542987,-0.74139160,0.01837147,0.278738,0.765404,0.573149,-0.99710400,-0.03620806,-0.06679641,0.00329471,50045
-0.143558,0.081212,-0.379651,0.67027990,0.02542237,-0.74144580,0.01834733,0.278749,0.765408,0.573142,-0.99710200,-0.03621421,-0.06681825,0.00338710,52045
-0.143363,0.081042,-0.379683,0.67027380,0.02540011,-0.74145110,0.01838813,0.278731,0.765433,0.573146,-0.99710090,-0.03628898,-0.06679649,0.00333934,54045
-0.143256,0.081220,-0.379581,0.67026970,0.02544039,-0.74145380,0.01837005,0.278750,0.765412,0.573153,-0.99710070,-0.03624246,-0.06682236,0.00338879,56046
-0.143439,0.081137,-0.379610,0.67033650,0.02543258,-0.74139210,0.01843691,0.278736,0.765428,0.573163,-0.99710040,-0.03635024,-0.06677128,0.00331756,58046
-0.143084,0.081048,-0.379398,0.67021360,0.02539723,-0.74150650,0.01835775,0.278742,0.765383,0.573123,-0.99709950,-0.03630444,-0.06680645,0.00338282,60048
-0.143126,0.081233,-0.379633,0.67024090,0.02548594,-0.74147690,0.01842557,0.278736,0.765402,0.573139,-0.99710030,-0.03626159,-0.06681644,0.00343652,62047
-0.143085,0.081044,-0.379449,0.67027930,0.02542197,-0.74144610,0.01835946,0.278744,0.765432,0.573156,-0.99710170,-0.03628327,-0.06678693,0.00336174,64047
-0.143246,0.081148,-0.379494,0.67029600,0.02540061,-0.74143290,0.01831352,0.278735,0.765416,0.573147,-0.99710110,-0.03623387,-0.06682102,0.00340370,66048
-0.143253,0.081287,-0.379394,0.67027160,0.02547207,-0.74145030,0.01840450,0.278713,0.765447,0.573165,-0.99709690,-0.03645706,-0.06676760,0.00328413,68048
-0.143116,0.081193,-0.379426,0.67029820,0.02535511,-0.74143480,0.01821802,0.278733,0.765398,0.573148,-0.99709960,-0.03631615,-0.06680106,0.00335034,70048
