Format Version,1.23,Take Name,kb_qpz,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-10-28 06.10.32.672 PM,Total Frames in Take,6538,Total Exported Frames,6538,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","C4D80","C4D80","C4D80","C4F40","C4F40","C4F40","C4F50","C4F50","C4F50","C4900","C4900","C4900","C4F60","C4F60","C4F60","C4F70","C4F70","C4F70","C4F90","C4F90","C4F90","C4FB0","C4FB0","C4FB0","C4FE0","C4FE0","C4FE0","C5000","C5000","C5000","C5010","C5010","C5010","C5020","C5020","C5020","C5030","C5030","C5030","C5040","C5040","C5040","C5050","C5050","C5050","C5080","C5080","C5080","C5090","C5090","C5090","C50A0","C50A0","C50A0","C50C0","C50C0","C50C0","C50D0","C50D0","C50D0","C50F0","C50F0","C50F0","C5110","C5110","C5110","C5130","C5130","C5130","C5180","C5180","C5180","C5160","C5160","C5160","C51A0","C51A0","C51A0","C51B0","C51B0","C51B0","C51F0","C51F0","C51F0","C5200","C5200","C5200","C4DC0","C4DC0","C4DC0","C4CF0","C4CF0","C4CF0","C4E00","C4E00","C4E00","C4CD0","C4CD0","C4CD0"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.156025,0.019254,-0.047801,-0.986408,0.019926,1.218294,0.376741,-0.080714,0.604616,0.742964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032948,1.231402,0.377175,0.018395,1.207180,0.410825,0.016278,1.251490,0.387296,0.059286,1.228938,0.379809
1,0.008333,-0.156177,0.019261,-0.047802,-0.986384,0.019928,1.218279,0.376749,-0.080723,0.604609,0.742968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032945,1.231392,0.377183,0.018396,1.207131,0.410850,0.016279,1.251482,0.387305,0.059286,1.228931,0.379814
2,0.016667,-0.156185,0.019246,-0.047788,-0.986383,0.019928,1.218272,0.376754,-0.080731,0.604621,0.742971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032943,1.231386,0.377192,0.018398,1.207126,0.410851,0.016280,1.251472,0.387310,0.059287,1.228922,0.379820
3,0.025000,,,,,,,,-0.080738,0.604623,0.742970,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032943,1.231378,0.377192,0.018396,1.207118,0.410852,0.016278,1.251470,0.387314,0.059289,1.228914,0.379818
4,0.033333,-0.156125,0.019200,-0.047756,-0.986395,0.019926,1.218257,0.376754,-0.080750,0.604613,0.742971,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032945,1.231373,0.377194,0.018397,1.207117,0.410854,0.016279,1.251460,0.387311,0.059288,1.228904,0.379813
5,0.041667,-0.156145,0.019207,-0.047823,-0.986389,0.019927,1.218252,0.376752,-0.080756,0.604618,0.742969,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032946,1.231360,0.377189,0.018398,1.207109,0.410853,0.016277,1.251456,0.387310,0.059288,1.228904,0.379810
6,0.050000,-0.156146,0.019203,-0.047823,-0.986389,0.019926,1.218252,0.376749,-0.080759,0.604619,0.742968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032948,1.231360,0.377188,0.018397,1.207109,0.410849,0.016276,1.251456,0.387307,0.059287,1.228904,0.379808
7,0.058333,-0.156151,0.019157,-0.047824,-0.986389,0.019922,1.218254,0.376741,-0.080776,0.604604,0.742966,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032951,1.231363,0.377186,0.018397,1.207110,0.410842,0.016271,1.251456,0.387297,0.059283,1.228909,0.379798
8,0.066667,-0.156124,0.019148,-0.047846,-0.986392,0.019919,1.218256,0.376732,-0.080781,0.604614,0.742964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032956,1.231362,0.377176,0.018394,1.207114,0.410834,0.016268,1.251457,0.387288,0.059282,1.228912,0.379787
9,0.075000,-0.155852,0.019082,-0.047880,-0.986435,0.019915,1.218267,0.376722,-0.080784,0.604627,0.742961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032962,1.231373,0.377170,0.018395,1.207166,0.410810,0.016254,1.251455,0.387262,0.059281,1.228924,0.379776
10,0.083333,-0.155834,0.019091,-0.047913,-0.986436,0.019909,1.218282,0.376709,-0.080787,0.604622,0.742961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032968,1.231387,0.377155,0.018389,1.207180,0.410799,0.016248,1.251467,0.387244,0.059273,1.228945,0.379765
11,0.091667,-0.155766,0.019089,-0.047905,-0.986447,0.019903,1.218303,0.376694,-0.080793,0.604617,0.742953,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032977,1.231411,0.377138,0.018383,1.207203,0.410789,0.016242,1.251487,0.387225,0.059269,1.228967,0.379748
12,0.100000,-0.155675,0.019085,-0.047924,-0.986461,0.019894,1.218324,0.376679,-0.080795,0.604633,0.742951,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.032986,1.231434,0.377120,0.018375,1.207227,0.410779,0.016231,1.251505,0.387200,0.059263,1.228994,0.379731
13,0.108333,-0.155581,0.019105,-0.047869,-0.986478,0.019886,1.218352,0.376657,-0.080802,0.604646,0.742948,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033005,1.231476,0.377094,0.018367,1.207252,0.410764,0.016231,1.251528,0.387159,0.059260,1.229027,0.379712
14,0.116667,-0.155558,0.019080,-0.047886,-0.986481,0.019879,1.218379,0.376637,-0.080799,0.604649,0.742945,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033014,1.231506,0.377077,0.018363,1.207276,0.410747,0.016221,1.251552,0.387133,0.059255,1.229059,0.379692
15,0.125000,-0.155201,0.019167,-0.047871,-0.986536,0.019862,1.218420,0.376620,-0.080801,0.604638,0.742941,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033033,1.231547,0.377042,0.018327,1.207365,0.410726,0.016210,1.251583,0.387105,0.059246,1.229100,0.379673
16,0.133333,-0.155066,0.019132,-0.047891,-0.986557,0.019852,1.218455,0.376599,-0.080796,0.604636,0.742931,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.033042,1.231589,0.377022,0.018318,1.207401,0.410713,0.016194,1.251611,0.387065,0.059239,1.229146,0.379647
