kbPos,-0.8903,0.1796,-0.9374,kbRot,20.0000,273.7352,0.0000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4919,0.3139,-0.9876,0.713540,0.132090,-0.684282,0.071912,1103086.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4919,0.3139,-0.9877,0.713475,0.132091,-0.684333,0.072073,1103102.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4919,0.3139,-0.9877,0.713460,0.132049,-0.684354,0.072090,1103119.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4920,0.3139,-0.9877,0.713399,0.132017,-0.684420,0.072137,1103135.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4920,0.3139,-0.9877,0.713370,0.131999,-0.684448,0.072190,1103152.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4920,0.3139,-0.9877,0.713339,0.132085,-0.684458,0.072237,1103170.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4921,0.3138,-0.9877,0.713363,0.132187,-0.684410,0.072269,1103187.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4921,0.3138,-0.9877,0.713330,0.132194,-0.684449,0.072214,1103203.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4921,0.3138,-0.9877,0.713360,0.132215,-0.684412,0.072226,1103219.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4921,0.3138,-0.9877,0.713394,0.132383,-0.684328,0.072381,1103236.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4922,0.3137,-0.9877,0.713476,0.132501,-0.684217,0.072417,1103253.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4922,0.3137,-0.9876,0.713526,0.132615,-0.684130,0.072523,1103269.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4922,0.3137,-0.9876,0.713599,0.132845,-0.684020,0.072426,1103286.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4922,0.3136,-0.9876,0.713625,0.133103,-0.683943,0.072418,1103303.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3136,-0.9875,0.713702,0.132940,-0.683899,0.072381,1103320.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3136,-0.9875,0.713715,0.132847,-0.683897,0.072440,1103336.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3136,-0.9875,0.713662,0.132946,-0.683919,0.072578,1103353.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3135,-0.9875,0.713626,0.132967,-0.683955,0.072541,1103370.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3135,-0.9875,0.713552,0.133184,-0.684016,0.072302,1103386.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3136,-0.9875,0.713565,0.133468,-0.683961,0.072173,1103403.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3135,-0.9874,0.713567,0.133582,-0.683929,0.072243,1103420.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3135,-0.9874,0.713554,0.133617,-0.683915,0.072440,1103436.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3135,-0.9874,0.713585,0.133622,-0.683847,0.072760,1103453.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3134,-0.9874,0.713551,0.133689,-0.683850,0.072954,1103469.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9874,0.713576,0.133833,-0.683795,0.072962,1103486.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3133,-0.9874,0.713524,0.134044,-0.683804,0.072988,1103503.00,,,,,,,,,,,,,,,,,,,,,,,,,
-0.8309,-0.2239,-0.8645,-0.8867,-0.1286,-0.8878,-0.4923,0.3132,-0.9874,0.713400,0.134247,-0.683875,0.073166,1103519.00,,,,,,,,,,,,,,,,,,,,,,,,,
