# x_kb,y_kb,z_kb,qw_kb,qx_kb,qy_kb,qz_kb,x_hmd,y_hmd,z_hmd,qw_hmd,qx_hmd,qy_hmd,qz_hmd,x_ft,y_ft,z_ft,t_ms
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-8.0,379.0,1052.0,0.887755,0.458422,0.029394,-0.029615,48.0,492.0,706.0,60009
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.887813,0.458315,0.029436,-0.029465,51.0,496.0,709.0,60021
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.887798,0.458344,0.029582,-0.029346,54.0,499.0,711.0,60032
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.887824,0.458275,0.029990,-0.029209,61.0,505.0,714.0,60043
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.887923,0.458090,0.030252,-0.028821,64.0,508.0,715.0,60054
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.888006,0.457908,0.030692,-0.028687,68.0,511.0,716.0,60065
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.887956,0.458000,0.031030,-0.028404,74.0,517.0,718.0,60076
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.887969,0.457947,0.031502,-0.028335,78.0,519.0,717.0,60087
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,379.0,1052.0,0.887875,0.458100,0.032239,-0.027999,81.0,522.0,716.0,60099
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-9.0,380.0,1052.0,0.887644,0.458490,0.033092,-0.027942,86.0,526.0,713.0,60110
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,380.0,1052.0,0.887662,0.458465,0.033038,-0.027833,88.0,528.0,710.0,60121
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,380.0,1052.0,0.887651,0.458471,0.033394,-0.027653,90.0,530.0,706.0,60132
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,380.0,1052.0,0.887559,0.458632,0.033892,-0.027322,93.0,531.0,698.0,60143
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,380.0,1052.0,0.887626,0.458506,0.034200,-0.026882,94.0,531.0,693.0,60154
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,380.0,1052.0,0.887515,0.458738,0.034360,-0.026385,95.0,531.0,688.0,60165
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,381.0,1051.0,0.887398,0.458959,0.034680,-0.026055,95.0,528.0,678.0,60176
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,381.0,1051.0,0.887409,0.458949,0.034766,-0.025727,95.0,527.0,674.0,60187
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,381.0,1052.0,0.887374,0.459021,0.034856,-0.025527,95.0,526.0,673.0,60199
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,381.0,1051.0,0.887315,0.459168,0.034608,-0.025281,95.0,526.0,673.0,60210
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,381.0,1050.0,0.887229,0.459365,0.034449,-0.024925,95.0,526.0,673.0,60221
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-10.0,382.0,1051.0,0.887112,0.459717,0.033529,-0.023834,94.0,525.0,673.0,60232
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,382.0,1051.0,0.886888,0.460235,0.032607,-0.023459,92.0,522.0,673.0,60243
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,382.0,1051.0,0.886646,0.460824,0.031290,-0.022833,91.0,521.0,674.0,60254
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,382.0,1050.0,0.886480,0.461202,0.030736,-0.022403,89.0,520.0,674.0,60265
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886269,0.461652,0.030004,-0.022447,87.0,518.0,676.0,60276
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886201,0.461808,0.029722,-0.022325,86.0,518.0,678.0,60287
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886094,0.462000,0.029721,-0.022579,86.0,517.0,680.0,60299
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1051.0,0.886006,0.462167,0.029483,-0.022948,84.0,517.0,683.0,60310
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.885993,0.462187,0.029556,-0.022950,83.0,517.0,685.0,60321
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.885939,0.462281,0.029560,-0.023124,82.0,516.0,686.0,60332
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886022,0.462114,0.029747,-0.023055,80.0,516.0,689.0,60343
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886032,0.462087,0.029791,-0.023128,79.0,515.0,690.0,60354
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886036,0.462068,0.029938,-0.023163,78.0,515.0,691.0,60366
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886047,0.462043,0.029966,-0.023208,76.0,514.0,693.0,60376
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886123,0.461880,0.030252,-0.023207,75.0,514.0,694.0,60387
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886189,0.461730,0.030472,-0.023350,73.0,514.0,695.0,60399
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886445,0.461199,0.030919,-0.023551,71.0,514.0,696.0,60410
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,383.0,1050.0,0.886529,0.460982,0.031466,-0.023902,69.0,514.0,697.0,60421
0.0,500.0,670.0,0.707107,0.707107,0.000000,0.000000,-11.0,382.0,1050.0,0.886695,0.460597,0.032051,-0.024411,68.0,514.0,698.0,60432
