Scribe: Realistic Handriting in Tensorflow
     by Sam Greydanus



TRAINING MODE...
Namespace(alphabet=' abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ', batch_size=32, bias=1.0, data_dir='./data', data_scale=50, decay=0.95, dropout=0.85, grad_clip=10.0, kmixtures=1, learning_rate=0.0001, log_dir='./logs/', lr_decay=1.0, momentum=0.9, nbatches=500, nepochs=250, nmixtures=8, optimizer='rmsprop', rnn_size=100, save_every=500, save_path='saved/model.ckpt', sleep_time=300, style=-1, text='', train=True, tsteps=2650, tsteps_per_ascii=25)

loading data...
	loaded dataset:
		970 train individual data points
		51 valid individual data points
		30 batches
building model...
	using alphabet abcdefghijklmnopqrstuvwxyzABCDEFGHIJKLMNOPQRSTUVWXYZ
attempt to load saved model...
loaded model: saved\model.ckpt-89000
training...
learning rate: 9.999999747378752e-05
89010/125000, loss = -15.365, regloss = -1.61304, valid_loss = -14.155, time = 3.970
89020/125000, loss = -15.367, regloss = -2.93460, valid_loss = -14.178, time = 3.548
89030/125000, loss = -15.390, regloss = -4.13140, valid_loss = -14.182, time = 3.483
89040/125000, loss = -15.365, regloss = -5.21566, valid_loss = -14.213, time = 3.562
89050/125000, loss = -15.409, regloss = -6.19642, valid_loss = -14.200, time = 3.620
89060/125000, loss = -15.470, regloss = -7.08637, valid_loss = -14.264, time = 3.540
89070/125000, loss = -15.370, regloss = -7.89346, valid_loss = -14.289, time = 3.267
89080/125000, loss = -15.407, regloss = -8.61926, valid_loss = -14.241, time = 3.708
89090/125000, loss = -15.567, regloss = -9.28305, valid_loss = -14.302, time = 3.556
89100/125000, loss = -15.000, regloss = -9.86244, valid_loss = -14.510, time = 3.615
89110/125000, loss = -15.088, regloss = -10.25039, valid_loss = -14.157, time = 3.535
89120/125000, loss = -16.043, regloss = -10.62104, valid_loss = -9.770, time = 3.409
89130/125000, loss = -14.433, regloss = -10.83565, valid_loss = -12.873, time = 3.630
89140/125000, loss = -14.999, regloss = -11.25566, valid_loss = -13.687, time = 3.519
89150/125000, loss = -15.289, regloss = -11.66317, valid_loss = -14.003, time = 3.508
89160/125000, loss = -15.495, regloss = -12.04279, valid_loss = -13.997, time = 3.515
89170/125000, loss = -16.119, regloss = -12.39033, valid_loss = -11.971, time = 3.479
89180/125000, loss = -13.095, regloss = -12.55885, valid_loss = -9.256, time = 3.516
89190/125000, loss = -15.790, regloss = -12.63326, valid_loss = -12.975, time = 3.491
89200/125000, loss = -16.006, regloss = -12.87872, valid_loss = -13.174, time = 3.571
89210/125000, loss = -15.895, regloss = -13.11681, valid_loss = -13.587, time = 3.399
89220/125000, loss = -15.711, regloss = -13.33919, valid_loss = -13.869, time = 3.516
89230/125000, loss = -15.504, regloss = -13.54232, valid_loss = -14.056, time = 3.416
89240/125000, loss = -15.275, regloss = -13.72641, valid_loss = -14.330, time = 3.485
