kbPos,-0.2683,-0.0570,0.7959,kbRot,0.86449740,0.15243420,0.47168920,-0.08317154,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
h_x,h_y,h_z,p_z,p_y,p_z,head_x,head_y,head_z,head_q_w,head_q_w,head_q_x,head_q_z,t,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3365,-0.1393,0.7850,-0.3033,-0.0464,0.8524,-0.7412,0.0639,0.5521,0.874339,0.084930,0.469770,-0.087378,759549.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3365,-0.1393,0.7850,-0.3033,-0.0464,0.8524,-0.7413,0.0639,0.5521,0.874489,0.084675,0.469577,-0.087158,759566.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3366,-0.1393,0.7851,-0.3035,-0.0463,0.8525,-0.7414,0.0639,0.5522,0.874545,0.084006,0.469630,-0.086963,759582.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3366,-0.1393,0.7851,-0.3035,-0.0463,0.8525,-0.7415,0.0640,0.5522,0.874500,0.083538,0.469801,-0.086937,759599.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3366,-0.1393,0.7851,-0.3034,-0.0463,0.8525,-0.7416,0.0640,0.5523,0.874454,0.082992,0.470041,-0.086626,759616.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3361,-0.1405,0.7836,-0.3028,-0.0475,0.8509,-0.7417,0.0642,0.5523,0.874492,0.082283,0.470181,-0.086156,759633.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3361,-0.1405,0.7836,-0.3028,-0.0475,0.8509,-0.7417,0.0643,0.5524,0.874542,0.081588,0.470312,-0.085592,759650.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3384,-0.1426,0.7768,-0.3052,-0.0497,0.8442,-0.7418,0.0645,0.5525,0.874660,0.081698,0.470186,-0.084978,759670.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3384,-0.1426,0.7768,-0.3052,-0.0497,0.8442,-0.7418,0.0646,0.5526,0.874764,0.081797,0.470111,-0.084226,759684.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3410,-0.1413,0.7751,-0.3078,-0.0484,0.8425,-0.7417,0.0647,0.5528,0.874912,0.081676,0.469978,-0.083542,759699.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3410,-0.1413,0.7751,-0.3078,-0.0484,0.8425,-0.7416,0.0647,0.5529,0.874905,0.081412,0.470066,-0.083379,759717.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3338,-0.1449,0.7813,-0.3005,-0.0519,0.8487,-0.7415,0.0647,0.5531,0.874690,0.081382,0.470401,-0.083768,759734.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3338,-0.1449,0.7813,-0.3005,-0.0519,0.8486,-0.7413,0.0646,0.5533,0.874490,0.081767,0.470648,-0.084096,759749.40,,,,,,,,,,,,,,,,,,,,,,,,,,
