kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3348,-0.0777,0.8085,-0.4006,0.0152,0.8448,-0.1804,0.1235,0.4383,0.956053,0.132459,-0.260386,-0.024826,412577.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3348,-0.0777,0.8085,-0.4007,0.0152,0.8447,-0.1807,0.1234,0.4383,0.955802,0.132705,-0.261179,-0.024856,412593.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0781,0.8091,-0.4009,0.0149,0.8454,-0.1808,0.1233,0.4383,0.955879,0.133091,-0.260728,-0.024561,412611.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0781,0.8091,-0.4008,0.0149,0.8456,-0.1806,0.1232,0.4384,0.956266,0.133269,-0.259283,-0.023824,412627.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3354,-0.0784,0.8096,-0.4010,0.0145,0.8463,-0.1805,0.1232,0.4386,0.956622,0.133035,-0.258158,-0.023050,412643.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3354,-0.0784,0.8096,-0.4010,0.0145,0.8463,-0.1806,0.1233,0.4386,0.956713,0.132520,-0.258092,-0.022979,412660.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3358,-0.0789,0.8101,-0.4014,0.0140,0.8467,-0.1808,0.1234,0.4385,0.956546,0.132253,-0.258805,-0.023437,412676.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3358,-0.0789,0.8101,-0.4014,0.0140,0.8466,-0.1809,0.1234,0.4384,0.956380,0.132404,-0.259294,-0.023966,412692.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3359,-0.0789,0.8103,-0.4016,0.0140,0.8467,-0.1810,0.1234,0.4384,0.956311,0.132682,-0.259364,-0.024389,412710.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3359,-0.0789,0.8103,-0.4016,0.0140,0.8468,-0.1809,0.1234,0.4384,0.956368,0.132500,-0.259244,-0.024414,412726.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3361,-0.0790,0.8104,-0.4018,0.0139,0.8470,-0.1809,0.1235,0.4384,0.956549,0.132018,-0.258850,-0.024114,412742.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3361,-0.0790,0.8104,-0.4018,0.0139,0.8470,-0.1809,0.1235,0.4384,0.956621,0.131930,-0.258644,-0.023952,412760.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0792,0.8105,-0.4019,0.0138,0.8472,-0.1810,0.1235,0.4383,0.956641,0.132057,-0.258512,-0.023909,412777.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0792,0.8105,-0.4020,0.0138,0.8472,-0.1811,0.1235,0.4382,0.956639,0.132037,-0.258556,-0.023613,412792.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3365,-0.0792,0.8106,-0.4021,0.0137,0.8472,-0.1811,0.1236,0.4382,0.956722,0.131542,-0.258536,-0.023209,412809.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3365,-0.0792,0.8106,-0.4021,0.0137,0.8473,-0.1811,0.1236,0.4382,0.956819,0.131069,-0.258409,-0.023296,412826.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3365,-0.0792,0.8106,-0.4021,0.0137,0.8472,-0.1811,0.1236,0.4382,0.956789,0.131129,-0.258481,-0.023418,412842.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3367,-0.0792,0.8105,-0.4023,0.0137,0.8471,-0.1812,0.1236,0.4381,0.956644,0.131338,-0.258913,-0.023364,412860.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3367,-0.0792,0.8105,-0.4023,0.0137,0.8470,-0.1813,0.1235,0.4380,0.956474,0.131796,-0.259288,-0.023619,412876.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3367,-0.0792,0.8105,-0.4024,0.0137,0.8470,-0.1813,0.1234,0.4379,0.956377,0.132030,-0.259522,-0.023673,412892.80,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0792,0.8101,-0.4019,0.0137,0.8466,-0.1813,0.1234,0.4378,0.956434,0.132015,-0.259323,-0.023638,412909.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0792,0.8101,-0.4019,0.0137,0.8466,-0.1814,0.1234,0.4377,0.956519,0.132107,-0.258954,-0.023717,412926.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0792,0.8101,-0.4019,0.0137,0.8467,-0.1814,0.1234,0.4376,0.956542,0.132231,-0.258835,-0.023377,412942.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0792,0.8101,-0.4019,0.0137,0.8467,-0.1814,0.1234,0.4374,0.956494,0.132204,-0.259077,-0.022811,412960.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0793,0.8100,-0.4020,0.0137,0.8465,-0.1816,0.1234,0.4372,0.956345,0.132038,-0.259727,-0.022620,412976.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0793,0.8100,-0.4020,0.0137,0.8464,-0.1817,0.1234,0.4370,0.956244,0.131918,-0.260161,-0.022599,412992.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0794,0.8100,-0.4021,0.0136,0.8463,-0.1818,0.1235,0.4367,0.956154,0.131762,-0.260582,-0.022461,413009.10,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3363,-0.0794,0.8100,-0.4021,0.0136,0.8462,-0.1819,0.1235,0.4365,0.956071,0.131371,-0.261112,-0.022168,413026.20,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3364,-0.0794,0.8098,-0.4022,0.0136,0.8460,-0.1821,0.1236,0.4363,0.955917,0.130997,-0.261881,-0.021936,413042.70,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3364,-0.0794,0.8098,-0.4023,0.0136,0.8459,-0.1822,0.1236,0.4360,0.955741,0.130829,-0.262591,-0.022094,413059.30,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3361,-0.0791,0.8093,-0.4020,0.0138,0.8454,-0.1823,0.1236,0.4357,0.955647,0.130985,-0.262849,-0.022196,413075.90,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0778,0.8067,-0.4011,0.0152,0.8427,-0.1822,0.1236,0.4355,0.955631,0.130838,-0.262979,-0.022194,413093.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0778,0.8067,-0.4011,0.0152,0.8427,-0.1823,0.1237,0.4353,0.955634,0.130729,-0.263031,-0.022109,413109.60,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3351,-0.0778,0.8067,-0.4011,0.0152,0.8427,-0.1823,0.1237,0.4351,0.955643,0.130441,-0.263147,-0.022042,413126.00,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3350,-0.0767,0.8049,-0.4009,0.0163,0.8409,-0.1822,0.1239,0.4348,0.955678,0.130262,-0.263084,-0.022320,413142.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.3350,-0.0763,0.8039,-0.4009,0.0167,0.8400,-0.1822,0.1239,0.4347,0.955752,0.130329,-0.262766,-0.022522,413159.80,,,,,,,,,,,,,,,,,,,,,,,,,,
