Format Version,1.23,Take Name,kb_qpzapos_head_duck_left_on_space,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-28 06.31.16.349 PM,Total Frames in Take,8328,Total Exported Frames,8328,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1191,Unlabeled 1191,Unlabeled 1191,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209,Unlabeled 1226,Unlabeled 1226,Unlabeled 1226,Unlabeled 1227,Unlabeled 1227,Unlabeled 1227,Unlabeled 1256,Unlabeled 1256,Unlabeled 1256,Unlabeled 1257,Unlabeled 1257,Unlabeled 1257,Unlabeled 1260,Unlabeled 1260,Unlabeled 1260,Unlabeled 1261,Unlabeled 1261,Unlabeled 1261,Unlabeled 1262,Unlabeled 1262,Unlabeled 1262,Unlabeled 1263,Unlabeled 1263,Unlabeled 1263,Unlabeled 1292,Unlabeled 1292,Unlabeled 1292,Unlabeled 1293,Unlabeled 1293,Unlabeled 1293,Unlabeled 1300,Unlabeled 1300,Unlabeled 1300,Unlabeled 1301,Unlabeled 1301,Unlabeled 1301,Unlabeled 1302,Unlabeled 1302,Unlabeled 1302,Unlabeled 1303,Unlabeled 1303,Unlabeled 1303,Unlabeled 1328,Unlabeled 1328,Unlabeled 1328,Unlabeled 1329,Unlabeled 1329,Unlabeled 1329,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","C75F0","C75F0","C75F0","C7830","C7830","C7830","C7840","C7840","C7840","C7950","C7950","C7950","C7960","C7960","C7960","C7B30","C7B30","C7B30","C7B40","C7B40","C7B40","C7B70","C7B70","C7B70","C7B80","C7B80","C7B80","C7B90","C7B90","C7B90","C7BA0","C7BA0","C7BA0","C7D70","C7D70","C7D70","C7D80","C7D80","C7D80","C7E00","C7E00","C7E00","C7E10","C7E10","C7E10","C7DF0","C7DF0","C7DF0","C7E30","C7E30","C7E30","C7FB0","C7FB0","C7FB0","C7FC0","C7FC0","C7FC0","C7050","C7050","C7050","C7040","C7040","C7040","C7060","C7060","C7060","C7070","C7070","C7070"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.097243,0.001496,-0.026553,-0.994905,0.077899,1.264832,0.266654,0.093164,1.121426,0.713409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025518,1.279997,0.267265,0.077215,1.258006,0.301841,0.075793,1.299312,0.273436,0.117962,1.273964,0.266975
1,0.008333,-0.097211,0.001584,-0.026540,-0.994909,0.077901,1.264842,0.266634,0.093207,1.121376,0.713461,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025519,1.280011,0.267225,0.077220,1.258017,0.301830,0.075796,1.299325,0.273421,0.117960,1.273970,0.266956
2,0.016667,-0.097134,0.001502,-0.026524,-0.994917,0.077903,1.264855,0.266616,0.093259,1.121400,0.713473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025522,1.280025,0.267211,0.077226,1.258038,0.301814,0.075800,1.299339,0.273400,0.117963,1.273983,0.266927
3,0.025000,-0.096860,0.001475,-0.026505,-0.994944,0.077906,1.264873,0.266612,0.093321,1.121478,0.713455,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025531,1.280049,0.267194,0.077230,1.258071,0.301827,0.075802,1.299360,0.273381,0.117964,1.274002,0.266908
4,0.033333,-0.096983,0.001464,-0.026547,-0.994931,0.077914,1.264898,0.266579,0.093394,1.121521,0.713450,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025536,1.280066,0.267170,0.077241,1.258090,0.301781,0.075806,1.299386,0.273353,0.117968,1.274027,0.266884
5,0.041667,-0.097059,0.001437,-0.026486,-0.994925,0.077915,1.264929,0.266548,0.093462,1.121536,0.713446,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.025546,1.280106,0.267144,0.077246,1.258115,0.301751,0.075806,1.299415,0.273328,0.117967,1.274052,0.266852
