kbPos,-0.4213,0.0267,0.8426,kbRot,-0.94550690,-0.16671840,0.27543230,-0.04856616,p_y,,p_z,,head_x,,head_y,,head_z,,head_q_w,,head_q_x,,head_q_y,,head_q_z,,t,:,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1383,0.1525,0.3476,0.957299,0.104804,-0.269105,0.013286,99816.24,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1383,0.1525,0.3475,0.957271,0.104962,-0.269126,0.013647,99833.23,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1382,0.1525,0.3475,0.957250,0.104918,-0.269208,0.013869,99848.91,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1382,0.1526,0.3475,0.957262,0.104462,-0.269335,0.013966,99865.13,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8633,-0.1382,0.1527,0.3475,0.957269,0.104233,-0.269427,0.013421,99882.39,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1382,0.1527,0.3475,0.957354,0.104124,-0.269187,0.013036,99899.54,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1381,0.1527,0.3476,0.957354,0.104031,-0.269211,0.013276,99916.17,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1380,0.1527,0.3476,0.957332,0.104066,-0.269257,0.013668,99932.51,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1379,0.1527,0.3475,0.957359,0.104210,-0.269114,0.013494,99948.97,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1378,0.1527,0.3476,0.957449,0.104189,-0.268825,0.013050,99965.50,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8634,-0.1377,0.1528,0.3476,0.957524,0.104027,-0.268638,0.012678,99982.53,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8635,-0.1376,0.1528,0.3477,0.957546,0.103926,-0.268608,0.012482,99998.91,,,,,,,,,,,,,,,,,,,,,,,,,,
-0.4240,-0.0906,0.8274,-0.4899,0.0024,0.8635,-0.1376,0.1527,0.3477,0.957546,0.104086,-0.268546,0.012429,100016.10,,,,,,,,,,,,,,,,,,,,,,,,,,
