Format Version,1.23,Take Name,random_kb_movement,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,120.000000,Capture Start Time,2019-11-14 04.02.16.358 PM,Total Frames in Take,2833,Total Exported Frames,2833,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,lh_rb_v2,Unlabeled 1946,Unlabeled 1946,Unlabeled 1946,Unlabeled 1991,Unlabeled 1991,Unlabeled 1991,Unlabeled 1992,Unlabeled 1992,Unlabeled 1992,Unlabeled 1993,Unlabeled 1993,Unlabeled 1993,Unlabeled 1994,Unlabeled 1994,Unlabeled 1994,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker1,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker2,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker3,lh_rb_v2:Marker4,lh_rb_v2:Marker4,lh_rb_v2:Marker4
,ID,"89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","89F1026118DC11E97DA3F75ED5E0708A","D9E50","D9E50","D9E50","DB240","DB240","DB240","DB250","DB250","DB250","DB260","DB260","DB260","DB270","DB270","DB270","D9D10","D9D10","D9D10","D9CF0","D9CF0","D9CF0","D9D20","D9D20","D9D20","D9D00","D9D00","D9D00"
,,Rotation,Rotation,Rotation,Rotation,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,W,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-0.169966,0.074670,-0.017991,-0.982452,0.059115,1.302199,0.059238,-0.109714,1.057192,0.520484,,,,,,,,,,,,,0.007472,1.319206,0.054982,0.053268,1.290274,0.092538,0.056791,1.335353,0.070844,0.098919,1.309561,0.066425
1,0.008333,-0.170061,0.074616,-0.018189,-0.982436,0.059037,1.302178,0.059228,-0.109087,1.057117,0.520627,,,,,,,,,,,,,0.007391,1.319165,0.054971,0.053196,1.290233,0.092538,0.056697,1.335340,0.070837,0.098839,1.309556,0.066408
2,0.016667,-0.170193,0.074489,-0.018319,-0.982421,0.058964,1.302154,0.059201,-0.108478,1.057091,0.520806,,,,,,,,,,,,,0.007312,1.319122,0.054961,0.053131,1.290202,0.092506,0.056619,1.335314,0.070820,0.098761,1.309542,0.066375
3,0.025000,-0.170196,0.074332,-0.018405,-0.982430,0.058886,1.302127,0.059179,-0.107749,1.057001,0.520936,,,,,,,,,,,,,0.007235,1.319081,0.054952,0.053066,1.290175,0.092487,0.056538,1.335291,0.070802,0.098674,1.309523,0.066340
4,0.033333,,,,,,,,-0.107009,1.056918,0.521088,,,,,,,,,,,,,0.007163,1.319054,0.054949,0.053006,1.290155,0.092463,0.056464,1.335263,0.070775,0.098602,1.309516,0.066311
5,0.041667,-0.170168,0.074044,-0.018593,-0.982453,0.058751,1.302096,0.059139,-0.106168,1.056818,0.521208,,,,,,,,,,,,,0.007098,1.319031,0.054944,0.052954,1.290144,0.092445,0.056392,1.335250,0.070749,0.098532,1.309517,0.066287
