# hl_pos_x,hl_pos_y,hl_pos_z,hl_rot_w,hl_rot_x,hl_rot_y,hl_rot_z, kb_pos_x,kb_pos_y,kb_pos_z,kb_rot_w,kb_rot_x,kb_rot_y,kb_rot_z,rb_pos_x,rb_pos_y,rb_pos_z,rb_rot_w,rb_rot_x,rb_rot_y,rb_rot_z,timestamp
0.119571,1.168423,0.535664,0.16637130,0.00969837,0.97776970,-0.12725170,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.064906,1.225986,0.150191,0.98814490,0.15035570,0.02712071,-0.01508112,148
0.171799,1.174614,0.662006,0.72521410,0.09161591,0.67827100,-0.07496414,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.090515,1.197922,0.182258,0.97396040,0.22220630,-0.00436819,-0.04479294,2153
0.189678,1.158147,0.685837,0.69558220,0.16919120,0.69124260,-0.09860726,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.091632,1.201155,0.176785,0.97344350,0.21946260,-0.02826001,-0.05869688,4162
0.184547,1.159188,0.687134,0.67912220,0.17480930,0.70782410,-0.08496968,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.089837,1.199913,0.176409,0.97235830,0.22447960,-0.02517247,-0.05911557,6162
0.183769,1.158127,0.686029,0.67781170,0.17523820,0.70823140,-0.09094560,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.060129,1.198928,0.182309,0.97435010,0.22350110,-0.02480492,0.00860547,8162
0.202285,1.152693,0.655571,0.67606310,0.12013660,0.70730570,-0.16800150,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.052507,1.216043,0.271959,0.89362070,0.21221770,-0.39452440,-0.02749885,10162
0.283429,1.176801,0.685885,0.31366420,0.14829420,0.93452070,-0.07933906,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.101069,1.198958,0.304149,0.94473090,0.23958780,-0.22201340,-0.02813283,12161
0.316328,1.156010,0.745947,0.59020890,0.19163940,0.77412490,-0.12513390,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.164837,1.208814,0.306582,0.97366120,0.20302360,-0.08877496,-0.05370535,14161
0.313138,1.164949,0.774147,0.63900110,0.16651310,0.74673960,-0.07956725,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.173447,1.207230,0.305860,0.97229920,0.21407120,-0.07432581,-0.05730139,16161
0.311589,1.164797,0.776747,0.64503880,0.17091200,0.74015620,-0.08296280,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.162181,1.201191,0.308413,0.96752600,0.23302050,-0.08459834,-0.04937669,18177
0.313236,1.161364,0.770498,0.63871440,0.17973520,0.74192650,-0.09635478,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.168343,1.206010,0.304331,0.97059900,0.22019510,-0.07994817,-0.05531837,20177
0.311363,1.163366,0.774166,0.64078040,0.17631760,0.74200640,-0.08797222,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.171703,1.203796,0.305077,0.96933800,0.22328420,-0.08140212,-0.06246329,22177
0.311584,1.162521,0.775845,0.63960380,0.18215000,0.74182560,-0.08615772,0.778813,0.993106,0.652165,0.71807330,0.12661570,0.67395630,-0.11883670,0.150533,1.202750,0.282219,0.96382870,0.24802470,-0.08490526,-0.04805353,24178
